
<kupa806>,הפניקס מרכזית לפיצויים צמוד מדד,מרכזית לפיצויים,מדד,מדד,20.91,0.0053,0.0165,-0.0001,0.0113,1.24,1.27,הפניקס פנסיה וגמל בע"מ ,16483.98,0.7882,67.44,0.0032,195.27,0.0093,58.57,0.0028,0,0,2377.13,0.1137,562.87,0.0269,0.01,0,1169.02,0.0559,17148.26,0.8199,3766.02,0.1801,18666.33,0.8925,2247.95,0.1075,59.76,0.0029,1957.84,0.0936,2222.18,0.1063,</Row>
<kupa813>,אנליסט גמל אשראי ואג"ח,תגמולים ואישית לפיצויים,מתמחים בניהול אקטיבי,אשראי ואג"ח,165.83,0.0055,0.0419,0.005,0.0149,0.9,1.35,אנליסט קופות גמל בע"מ,77930.95,0.4699,73002.02,0.4402,1431.74,0.0086,0,0,0,0,42.28,0.0003,11659.61,0.0703,0,0,1766.65,0.0107,163643.16,0.9868,2190.09,0.0132,152982.46,0.9225,12850.79,0.0775,34.72,0.0002,11985.46,0.0723,12073.23,0.0728,</Row>
<kupa814>,אנליסט גמל מניות,תגמולים ואישית לפיצויים,מתמחים בניהול אקטיבי,מניות,3502.4,0.006,0.1794,0.0687,0.1277,3.85,4.44,אנליסט קופות גמל בע"מ,1232291.55,0.3518,0,0,20.03,0,1604262.63,0.458,-7146.75,-0.002,0,0,643715.45,0.1838,0,0,29255.27,0.0084,3498809.45,0.999,3588.72,0.001,2178186.33,0.6219,1324211.85,0.3781,3416268.66,0.9754,2821873.43,0.8057,1210348.96,0.3456,</Row>
<kupa815>,אנליסט גמל כספי (שקלי),תגמולים ואישית לפיצויים,מתמחים בניהול אקטיבי,כספי (שקלי),74.68,0.0057,0.0451,0.0239,0.0148,0.21,0.19,אנליסט קופות גמל בע"מ,63008.1,0.8437,4941.82,0.0662,0,0,0,0,0,0,0,0,6408.1,0.0858,0,0,325.59,0.0044,74693.55,1.0001,-9.95,-0.0001,74683.6,1,0,0,0,0,38.87,0.0005,0,0,</Row>
<kupa817>,אנליסט גמל מניות סחיר,תגמולים ואישית לפיצויים,מתמחים באפיקי השקעה סחירים,מניות סחיר,1415.13,0.0056,0.1946,0.1087,0.1568,3.56,3.9,אנליסט קופות גמל בע"מ,590770.47,0.4175,0,0,0,0,706762.68,0.4994,-842.95,-0.0006,0,0,110620.66,0.0782,0,0,7823.39,0.0055,1416043.35,1.0006,-909.09,-0.0006,183800.15,0.1299,1231334.11,0.8701,1397607.87,0.9876,1908467.46,1.3486,1271462.84,0.8985,</Row>
<kupa818>,אנליסט גמל  משולב סחיר,תגמולים ואישית לפיצויים,מתמחים באפיקי השקעה סחירים,משולב סחיר,1289.72,0.0056,0.103,0.0745,0.078,1.86,1.8,אנליסט קופות גמל בע"מ,486970.16,0.3776,239189.39,0.1855,0,0,327537.91,0.254,0,0,0,0,231716.41,0.1797,0,0,4304.09,0.0033,1289933.42,1.0002,-215.46,-0.0002,71027.36,0.0551,1218690.59,0.9449,564374.85,0.4376,1290241.65,1.0004,1218691.22,0.9449,</Row>
<kupa827>,מבטחים מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,81.59,0.0084,0.0701,0.0157,0.0341,1.72,2,מנורה מבטחים פנסיה וגמל בע"מ,27543.62,0.3376,22303.74,0.2734,162.97,0.002,18672.14,0.2288,0,0,3437.32,0.0421,3712.78,0.0455,4334.01,0.0531,1424.98,0.0175,77589.91,0.951,4001.66,0.049,55623.4,0.6817,25968.17,0.3183,24914.78,0.3054,29458.59,0.3611,13884.24,0.1702,</Row>
<kupa828>,מנורה השתלמות כללי,קרנות השתלמות,כללי,כללי,10503.46,0.0062,0.0803,0.0352,0.054,1.76,2.26,מנורה מבטחים פנסיה וגמל בע"מ,1297503.8,0.1235,1455756.49,0.1386,48864.7,0.0047,3862304.28,0.3677,48017.06,0.0046,1182377,0.1126,496642.16,0.0473,317372.19,0.0302,1794625.88,0.1709,7295765.14,0.6946,3207698.42,0.3054,5487541.16,0.5225,5015922.4,0.4775,4911059.16,0.4676,5154745.31,0.4908,2709393.16,0.258,</Row>
<kupa857>,הראל דקל,תגמולים ואישית לפיצויים,כללי,כללי,62.16,0.0042,0.087,0.0297,0.0494,1.94,2.17,הראל פנסיה וגמל בע"מ,15987.56,0.2572,9309.12,0.1498,486.78,0.0078,19013.06,0.3059,67.57,0.0011,9440.25,0.1519,4815.71,0.0775,2252.57,0.0362,785.3,0.0126,51481.86,0.8282,10676.05,0.1718,43950.23,0.7071,18207.67,0.2929,28965.57,0.466,28692.83,0.4616,15339.35,0.2468,</Row>
<kupa858>,מגדל לתגמולים ולפיצויים כספי (שקלי),תגמולים ואישית לפיצויים,מתמחים בניהול אקטיבי,כספי (שקלי),77.61,0.0055,0.0436,0.0215,0.0133,0.23,0.19,מגדל מקפת קרנות פנסיה וקופות גמל בע"מ,67981.37,0.8759,7085.69,0.0913,0,0,0,0,0,0,0,0,2575.8,0.0332,0,0,-32.89,-0.0004,77642.86,1.0004,-32.89,-0.0004,77609.98,1,0,0,0,0,0,0,0,0,</Row>
<kupa859>,מגדל לתגמולים ולפיצויים אג"ח ממשלות,תגמולים ואישית לפיצויים,מתמחים בניהול אקטיבי,אג"ח ממשלות,69.82,0.0054,0.0124,-0.0181,-0.0053,1.17,1.13,מגדל מקפת קרנות פנסיה וקופות גמל בע"מ,53582.17,0.7674,13980.58,0.2002,0,0,0,0,0,0,0,0,2247.39,0.0322,0,0,10.82,0.0002,69810.14,0.9998,10.82,0.0002,64518.63,0.9241,5302.33,0.0759,0,0,5274.56,0.0755,5306.56,0.076,</Row>
<kupa863>,מגדל לתגמולים ולפיצויים מניות,תגמולים ואישית לפיצויים,מתמחים בניהול אקטיבי,מניות,401.18,0.0047,0.1599,0.0531,0.1008,3.47,3.98,מגדל מקפת קרנות פנסיה וקופות גמל בע"מ,35626.06,0.0888,153.64,0.0004,0,0,256754.13,0.64,0,0,0,0,100435.15,0.2504,2753.73,0.0069,5453.05,0.0136,396756.91,0.989,4418.84,0.011,215598.44,0.5374,185577.31,0.4626,398890.1,0.9943,265489.85,0.6618,124106.15,0.3094,</Row>
<kupa864>,מגדל השתלמות כספי (שקלי),קרנות השתלמות,מתמחים בניהול אקטיבי,כספי (שקלי),200.28,0.0053,0.0433,0.0213,0.0132,0.23,0.19,מגדל מקפת קרנות פנסיה וקופות גמל בע"מ,175448.64,0.876,18082.9,0.0903,0,0,0,0,0,0,0,0,6778.29,0.0338,0,0,-30.77,-0.0002,200309.83,1.0002,-30.77,-0.0002,200279.06,1,0,0,0,0,0,0,0,0,</Row>
<kupa865>,מגדל השתלמות אג"ח ממשלות,קרנות השתלמות,מתמחים בניהול אקטיבי,אג"ח ממשלות,139.94,0.0064,0.0122,-0.0183,-0.0053,1.17,1.13,מגדל מקפת קרנות פנסיה וקופות גמל בע"מ,107475.97,0.768,28113.03,0.2009,0,0,0,0,0,0,0,0,4298.11,0.0307,0,0,55.79,0.0004,139887.11,0.9996,55.79,0.0004,129559.64,0.9258,10383.26,0.0742,0,0,10352.36,0.074,10392.55,0.0743,</Row>
